item_category,item_id,brand,user_id,date,comment,rating,tonality
406,4060501,879,1446,2013-01-14,"Пользуюсь два года. Соковыжималка нормальная. Как то пропало питание (тумблер не реагировал на нажатия), повёз в ремонт и при проверке она заработала. После этого прошёл год. Работает без нареканий. Вот такие чудеса!",4,positive
412,4120201,798,2947,2010-02-08,"Неумение обращаться с изделием не делает изделие плохим. Наверняка девушка в первый раз в жизни заправляла горизонтальный челнок. там есть небольшая хитрость, показанная наглядно в видеоролике на прилагаемом CD. Больше года использую такую ""в хвост и гриву"", профессионально - не нарадуюсь.",5,positive
304,3040104,1,1662,2010-08-16,Когда данный товар появится в наличий магазинов нашего города?,5,positive
413,4130901,66,2006,2016-06-09,"Я был вообще готов купить новую бритву, но воворемя узнал что можно купить просто сетку со сменным блоком, и вся проблема. В моем случае сетка и режущий блок представляют собой единую систему и не меняются по отдельности, поэтому в наборе они тоже идут вместе. Подходит для бритв Браун 7-ой серии.",5,positive
411,4110102,48,2217,2013-12-02,"Отличный пылесос, очень мощный, после одной уборки контейнер был полный, как будто и не пылесосили никогда. Чаша очень просто очищается, недорог  в эксплуатации, один раз в год нужно поменять фильтр, который стоит 400 руб. Берите, не пожалеете",5,positive
203,2030201,93,767,2010-06-28,"Купил это ноутбук 3 недели назад.Выбор делал из моделей АSUS,Аcеr,HP.Мне ноут был нужен для работы и чтобы фильмы посмотреть.В целом покупкой доволен.Есть все что нужно камера,блютус,факс.Оператива новейшая DDRЗ, 3 гига,довольно шустрая,Процессор мощный.Порадовало наличие 4 портов USB.Также есть гнездо HDMI. Отвод тепла сзади ноута,что тоже хорошо.Большой плюс-тишина работы бука.Минусы: небольшой винчестер(250 гб) ,буквы на клаве одного цвета.Но это все мелочи.Так что ноутбук отличный.Всем советую,берите не пожалеете. Соотношение цена качество-самое то.Брал за 24 тыс.",4,positive
405,4050205,980,2481,2013-10-02,"Уже года три пашет, так что вещь хорошая!!",5,positive
510,5100102,710,1656,2010-04-24,"Кажется что сушка - это вещь на которой можно и нужно сэкономить, ну что в ней может быть особенного??Но посмотрите на эту, в ней сразу несколько существенных отличий от всех более дешевых аналогов.Во-первых, на ногах она ""стоит ровно"", они не перекрещиваются.Во-вторых, имеет пластиковые защитные части и ножки имеют ступор в сторону раскладывания.В-третьих, в ножки вмонтированы колесики, и даже если на сушке до 20 кг белья ее можно легко переместить в помещении.В-четвертых, она оснащена замечательными отстегивающимися ""ушами"",которые можно  приспособить к батарее,если нужна интенсивная сушка или количество белья невелико.И, в-последних, клип, на который она закрывается, предотвращая разваливание во время хранения.Это просто мечта!!!",5,positive
515,5150101,11,690,2013-07-24,"Наушники просто великолепные! Качество звука - отличнейшее. Басы Otto Dix чувствовались великолепно! Но все же погибли, не прожив и трех месяцев. Сначала отломалось само ушко. Клеили - держалось. Потом переломилась стыковка (где два кабеля в один переходят), а затем уже и само основание. И, как все говорят, сами ушки разбалтываются, почти не держатся. Но наушники были просто отменные! Ни одни из своих я так не любила.",4,positive
303,3030501,1542,1414,2010-06-26,"вообще игра для тех, кто любит побродить.поискать.подумать.да сюжет нелинейный, в чем вся прелесть игры.завораживающий геймплей.игра классная, всем советую.купил соньку из-за нее и еще пару игр.нисколько не жалею потраченных денег))))))))))",5,positive
405,4050303,81,2680,2016-01-16,"У нас такая система установлена в офисе, помещение около 35 квадратов, рабочие места определены перегородками, т.е. все 11 человек дышат одним воздухом. Летом, конечно, мрак, в офисе душно, жарко, центральная вентиляция не справляется со своей задачей и при работе гудит жутко. Установки этого кондиционера оказалось достаточно, чтобы забыть о духоте и не мучиться от жары. Работает тихо. Я прихожу на работу первая и его включение моя ответственность. Минут 15 требуется, чтобы охладить все помещение, холодный воздух развеивает равномерно, направление дува установлено над уровнем стоящего человека, поэтому никто из сотрудников не жалуется на прямое его проветривание. На корпусе есть цветной дисплей, на котором отражаются установки. Данный кондиционер можно использовать для обогрева даже при небольшом минусе, по паспорту до -5. Если покупать домой, то думаю что его одного хватит на всю двухкомнатную квартиру.",5,positive
515,5150101,1453,2052,2009-08-26,"Отличнейшие наушники за такие деньги. Хорошо шумоизолируют,надежные и звук ровный, очень доволен покупкой. Пользуюсь более 7 месяцев.",5,positive
411,4110104,13,878,2011-01-27,"Маленький и удобный пылесос.После покупки лучше сразу купить комплект бумажных одноразовых мешков.Шумноват,но соседи не жалуются).  Из минусов: когда засасывает металлические предметы,то наэлектризовывается весь.Иногда бьет статическим током.  В целом,очень хороший аппарат.",5,positive
411,4110103,1050,2217,2017-07-14,"Очень легко моется , нет лишних деталей",4,positive
203,2030301,93,656,2009-10-02,"комп пуляет, просто самолет, даже не смотря на висту 32, долго сомневался из-за размеров, очень тихий, я доволен как слон, диагноз: брать!",5,positive
412,4120201,882,257,2013-11-18,"к сожалению присутствие лампочки мало обрадовало, стоит очень высоко и не выполняет своего прямого назначения, освещает свои внутренности ,быстро греется и очень воняет пластмассой",4,positive
408,4080301,863,794,2010-02-27,"плита компактная, удобная, один большой минус на верхней панели через 6 месяцев потрескалась эмаль, обратилась в ремонт, плиту заменили без проблем, что приятно, но и на новой плите опять трещины по эмали сильные пошли.",4,positive
406,4060801,86,2923,2017-01-22,Хорошее качество ,5,positive
406,4060201,879,1225,2015-12-25,"Взбивает все очень хорошо и не важно что вы в него бросите. Моя семья любит когда нет нифилей(маленьких кусочков), на пятой скорости делает пюре, но приходиться включать пару раз по две минуты. Работал на протяжении года в плотном режиме для семьи из 4 человек. потом начал протекать нож. Считаю что за такие деньги год работы это мало.",4,positive
411,4110102,48,2947,2010-11-12,"Пылесос отличный. Мощный-это раз. Не по-детски тянет. Самые мелкие предметы и пыль, снимает, не оставляя следа. даже жидкость насухо! Качественная сборка, и никаких нареканий к качеству - это два. И третье - это конечно чистый воздух. Действительно очень чистый. Особенно, если использовать угольный фильтр.",5,positive
406,4061001,11,682,2016-07-10,"Отличный чайник. Кипятит быстро, не сильно шумный, если со временем зашумел - нужно очистить от накипи и снова все в порядке. А про тех, у кого лопается стекло на крышке, скажу, что не нужно было наливать и кипятиь воду выше максимальной отметки 1,7 литра!!! Чайнику 4 года, всегда наливаем воду чуть меньше максимальной отметки и все в порядке, стекло крепкое , специально постучал сегодня по нему пальцем - как новое. Вообщем рекомендую!",5,positive
405,4050101,829,1262,2016-04-18,"пользовалась 2 лета,пока очень довольна.",5,positive
405,4050303,81,1538,2013-06-12,"Покупали год назад, прошлое лето отработал хорошо, без каких- либо сбоев. В это лето тоже включаем, все нормально перезимовал хорошо. Большое значение имеет качественная установка самого кондиционера, (квалифицированными специалистами) на этом не стоит экономить. И тогда у любого кондиционера будет полет нормальный. Берите с запасом по квадратуре комнаты. Мы такой взяли на комнату в 16 кв.м. + совмещенная кухня 6 кв. м.",5,positive
413,4130201,759,1538,2016-03-04,"Долго думала, какой набор выбрать. Остановилась на этом в виду сочетания цена-функциональность. Все насадки - нужные. Особенно нравится конусная, сферическая. Профессиональны пользуется сферической в салонах. Странно, что не во всех наборах она присутствует. Здесь есть. Порадовало, что есть пилочки, ими легко придавать форму ногтю, потом дорабатываю пилкой. Конечно, нужно уметь пользоваться, чтоб набор оказался полезным. Я делала в салоне аппаратный маникюр - поэтому было представление, каким образом пользоваться насадками. Маникюр получился как в салоне, кутикула растет медленнее, чем при обрезном маникюре. Особенно порадовала цена. Сейчас в магазине он не очень дорогой",5,positive
107,1070902,10,153,2011-01-22,"телевизор хороший, но вот такая проблема. что с флешки что с карты музыка с фотками воспроизводится а видео нет. пишет что ""нет файлов для воспроизведения"" я и форматировал всё, и видео кодировал ничего не помогает",4,positive
205,2050201,13,1538,2010-12-20,"Я купила телефон неделю назад. Впринцепе мне все нравится,но есть одно ""но"", редко, но бывает, когда разблокируешь его и нажимаешь на меню, экран становится красным, и меню так и не появляется...",5,positive
505,5050101,1031,763,2017-07-15,Удобная вещица))),4,positive
411,4110104,81,1952,2011-02-24,"Пользуюсь вторую неделю, выбирала между циклонным пылесосом и пылесосом с пылесборником,в итоге остановилась на этой модели и не ошиблась. Очень тихий, легкий пылесос. Убирать им одно удовольствие. Мощность тоже на высоте, удобно регулируется ручка, ну и конечно же длинный шнур.",5,positive
203,2030201,995,2051,2010-04-06,общее мнение таково Ноутбук Packard Bell DT85-CT-015RU про-во КНР все это знают когда покупали а сравнения с Acer-ом не много не каректная у меня был7520 грелся жуть карта8600 в конце концов видюха сгорела.а по клавеатуре поделюсь своим опытом A4TechX7G100 решает все боталии.Но минусы все перечисленные я потверждаю плюс заглючилHDD WD я от него этого не ожидал.видно сказывается КНР фактор.в общем покупка себя оправдывает так как кроме китая ничего не найти даже в америке.УДАЧНЫХ ПОКУПОК,5,positive
413,4130301,63,1869,2011-03-25,"Подарила мужу на день рождение машинку для стрижки волос. У нас она уже 6 месяцев, нареканий нет.   Только положительные эмоции! Стригу самой маленькой насадкой 3 мм: просто супер, волосы не дергает, убирает волосы с первого раза и не оставляет бороздок. Вибрация в пределах нормы, удобна в руке. Мыть ее не нужно, смазывать тоже, лишь чистить щеточкой и продувать от мелких волосков. Очень удобна и проста в применении. Муж доволен и я рада.   Пару раз стригла свекра-очень понравилось.Теперь собираемся ему на юбилей такую же подарить.",5,positive
203,2030201,995,1225,2010-04-30,"Бук самый лучший во всем: качество, дизайн, мощь, обьем, все что нужно  перед покупкой этого бука долго и придирчиво выбирал ноут, облазил весь инет, смотрел, читал.   читал примерно месяц, может больше, потом ходил по магазинам смотрел щупал ноутбуки разных производителей и более дорогих, так как бюджет был 50 т.р и вот как-то случайно я проходил мимо и встретил его - это было чудо, я его нашел.  Вот он красивый (особенно клавиатура и сенсорная панель)и еше круче тачпад. Качественный и крепкий пластик как в дорогой иномарке (у некоторых ноутбуков клавиатура прогибается особенно ASUS аналогичный,и некоторые HP, а я на них смотрел с высока).  потом он очень удобен и легок. греется тока в играх, нормально, так и должно быть, главное, что температуру держит, хоть весь день играй. тест проводил лично при специальной программе, экран по качеству неплохой от других производителей ничем не отличается вот тока продавцы sony меня убеждали, что их матрица самая яркая и в ней типа не видно пикселов, ну это все уловки продавцов.   минус тока один - когда брал я не проверил DVD/RW, вот привез я его домой вставил диск dr.weba и он начал крутить и шуметь, но я на это не обратил внимания. теперь иногда вставляешь диск, а и он начинает как истребитель на взлетной полосе, проблема в том, что он как-то неплотно подходит, люфт так сказать небольшой, поэтому шумит, если пальцем его прижать, то все ОК'.   советую, когда будете брать, то проверяйте на месте абсолютно все звук порты, вставьте диск, послушайте, потрогайте.   И еще на картинке он не очень, вот когда его в живую увидишь, да на фоне других - это просто красавец, эта модель ESYnote так и разрабатывалась для развлечений, то есть красивый, удобный, мощный. Ноут 5 балов, было бы 6 - поставил бы и б.   ах да забыл ноутбуком пользуюсь 1 месяц купил за 29900+гарантию на 2 года 2000 и мне дали карту в м.Видео через 21 день на ней будет 2000р, вот так что это вдвойне крутой ноутбук .СУДИТЕ САМИ, это было лично моё мнение.",5,positive
205,2050101,318,1225,2009-10-09,Давно ждал!!! Купил неделю назад!!! Телефон просто супер!!! Нереальный функционал за вполне реальные деньги. Отсутствуют почти все ненужности))). Всем рекомендую!!!,5,positive
515,5150101,11,2937,2009-10-30,"Хороший звук, удобное крепление, вот только габариты несколько показались неудобными (уши торчат) и при ветре на малой громкости ничего не слышно...",4,positive
203,2030201,93,767,2010-06-25,А подсскажите пожалуйста какая видиокарта лучше GeForce G240M или Radeon HD 5650????заранее спасибО!))),5,positive
304,3040105,1,2923,2010-11-01,"приобрел сегодня, версия официальной прошивки 6.2",5,positive
107,1070903,13,2963,2009-12-17,"Прикольный девайс, мне понравился.  Настроек куча, картинка хорошая, жаль только видео с USB не тянет.    с кинотеатром однофирменным через HDMI отлично снюхивается - при загрузке диска телек сам включается/переключается    ИМХО Оптимальное соотношение цена/качество/бренд    рекомендую",5,positive
413,4130501,1920,690,2015-05-06,"Достоинства: Достаточно точное и быстрое измерение температуры,  Не тонет,  Мягкая оболочка (резина или каучук),  Ничего острого нет.  Недостатки: Плавал бы он всегда датчиком ко дну.  Комментарий: Пупсик первым делом охотится и набрасывается на этот термометр :)  Сам термометр после погружения медленно всплывает.  Развивается моторика и терпение: поначалу ему было сложно схватить (он «скрипел» от злости) вращающийся на поверхности воды термометр, потом научился :) Наблюдать за этим интересно",4,positive
413,4130401,63,2974,2012-06-20,"Купила этот прекрасный стайлер около полугода назад, за этот период он ни разу меня не подвел. Быстрый нагрев, насадки подогнаны специально по ручке. В комплекте есть 8 аксессуаров, можно творить невероятные прически и укладки вместе с ним. Он стал незаменимой мне вещью.",5,positive
107,1070908,10,44,2010-03-29,мне лично телевизор понравился,5,positive
405,4050206,695,1734,2013-09-13,"Если&nbsp; покупаете прибор для ежегодного сентябрьского отключения горячей воды на 2 недели-то этот водонагреватель для вас. Он нормально греет при несильном напоре воды, можно даже обжечься. Лейка конечно простенькая, но для помывки 1-2 раза в день пойдет. Провод электрический с вилкой на конце уже присоединен. Установка простая. Единственный минус - нет в комплекте провода заземления, для него есть только контакт папа. Но это просто решается покупкой крокодильчика с проводом, всего-то 30 руб.",5,positive
207,2070202,11,2688,2010-02-11,"а)Перемотка вперед-назад: комбинацией 2-х кнопок ВВЕРХ или ВНИЗ и PLAY-STOP.  б) При подключении к компу можно выбрать режимы: зарядка+перекачка или зарядка+музыка, в этом случае комп плеера не видит.",4,positive
205,2050101,93,1058,2010-04-24,"Мне он понравился, стильный дизайн.. вообще культ, меня оч вдохновил.... Только не знаю максимум сколько туда можно поставить флешку.",5,positive
411,4110102,80,2170,2010-05-02,"Мы пользуемся этим пылесосом уже 3 месяца - очень довольны что купили. никаких хлопот - фильтр моется, контейнер для пыли тоже, легко собирается.",5,positive
410,4100101,76,1869,2014-12-11,"Не стоило ждать от кофеварки за эти деньги чудес.......запах пластика присутствует постоянно, даже после нескольких прогонов воды, но во вкусе и запахе кофе пластик не ощущается. Вода течет быстро, но кофе получается вкусным. Так понимаю, вкус и аромат изначально зависят от качества и количества кофе. Кофе может даже вскипеть, не знаю, хорошо это или плохо... в целом,покупкой довольны. Если бы не запах - было бы 5 баллов!",4,positive
404,4040106,759,1453,2017-05-15,Пока работает превосходно. Недостатков в течение месяца не выявлено. Рекомендую.,5,positive
304,3040304,1,1875,2011-12-28,"Купил себе psp 3008 на день рождения. И сразу же увидел на витрине доп.набор и сразу же его взял. И купил игру. Я был настолько радостным, что сразу же как сел в машину, открыл коробку и достал psp. И стал играть. Но меня немного огорчило, что комплектация была мала, но это меня не так огорчило. И когда зарядка садилась,  я его заряжал от магнитолы в машине (USB-с доп.набором).  Недостатки: панель нежная и легко царапается и нет web-камеры в наборе.",5,positive
205,2050201,318,1640,2010-07-31,"Всем привет, данный телефон у меня на руках 2 день, из минусов обнаружил пока только один, из заявленных 32 мб на сайте, в действительности на телефоне всего 10, на вопрос почему менеджер ответил, что системные файлы занимают остальные 22 )) что еще...кричит громко, не орет как 3250 ( был во владении ) басов нет, высокие частоты по ушам режут на большой громкости...Заряд держит хорошо, с момента покупки еще не заряжал вообще.  Телефончик приятный, для людей которые покупают телефон именно по назначению, а не для выпендрежа, в принципе покупкой доволен.    Всем удачи, берегите себя, будут вопросы пишите тут постараюсь ответить по мере возможности.",4,positive
107,1070902,10,1026,2011-07-11,"Купил сей девайс вместо монитора, соединил по HDMI, прекрасная картинка и четкость, как телевизор пока не использовал, не вижу смысла на комнатную антену портить впечатление....",5,positive
407,4070101,13,767,2011-08-29,"Купили чуть меньше года назад. Пользуемся часто, в основном для разогрева, гриль использовали всего пару раз. Всё устраивает, хороший аппарат!",5,positive
411,4110102,80,1580,2016-09-05,"Ох и намучилась я с ""мешковыми"" пылесосами. Надоело дышать пылью и постояно выбивать пыль из всех щелей пылесоса и мешка. Неудобно и непрактично. Зародилась мечта о простом контейнере, который нужно просто ополоснуть и все. Долго выбирала, и дело не только в цене. Хотела найти небольшой и удобный пылесос с достаточной мощностью.",5,positive
203,2030201,995,816,2010-03-17,"Купил сегодня этот ноут, сам правда не очень разбираюсь, хотел купить lenovo y450 оказался последний и тот образец.) По всему городу не было, увидел этот образец, тестирую, через неделю напишу.",5,positive
406,4060301,86,1417,2010-05-20,"Просто супер,нет слов!!!!!!!!!!!!!!!!!!",5,positive
205,2050201,13,508,2010-03-13,Пользуюсь телефоном почти год. Работает нормально. НО!!! Камера на троечку.,4,positive
409,4090101,1425,2675,2014-07-04,"Покупал маме посудомоечную машину DW H-A LSF 7237 X. Мама почувствовала себя вдвойне женщиной! Сэкономила время, поберегла ручки, а посуда блестит и продезинфицирована.Советую всем!",5,positive
205,2050201,13,2001,2010-03-30,"У меня телефон уже год живёт. Камера хорошая, 2МПикс и вполне достаточно. Батарея тоже нормальная. Советую.  =)",5,positive
205,2050201,318,702,2010-07-01,Аналог Nokia N76???Долгое время пользовалась этим телефоном..теперь не могу никак найти схожий по функционалу и внеш.виду(((,5,positive
103,1030804,47,2549,2013-01-18,"Очень хорошие рации за эти деньги. Купил для охоты. В лесу километра за 2-3 передают-принимают на ура! Ещё один плюс в том, что в комплекте для каждой рации есть гарнитура, как по мне, удобненькая (у меня уши большие)))), так что нареканий нет. P.S. в имении уже год!",5,positive
413,4130801,66,2866,2017-01-19,"прост в использовании, удаляет даже коротенькие волоски, компактность,низкая стоимость,нет раздражения",5,positive
405,4050305,80,1702,2011-07-11,"Охлаждает обалденно. Функций оказалось намного больше, чем указано на сайте. Вобщем советую. За такую цену - отличный кондиционер.",5,positive
406,4061001,759,2549,2017-04-22,"обьем,простота управления, цена",5,positive
413,4130801,66,2132,2017-05-20,Компактный ,5,positive
304,3040101,674,485,2011-06-02,"Я знаете, вообще не любтель портативок, как таковой. Для меня обе прежние портативки выглядели надувательством (я про обычную DS и ПСП), одна 3д модели не тянула даже, графон конечно не главное, но на ней были ограничения слишком велики, а на другой игр толковых (кроме переделок с больших приставок) не было.    А тут гляжу 3D, фич интересных много, мощности достаточно, чтоб была графика ПС2 (и ладно! Для более мощных показателей я жду новые стационарки). Хотя игры пока не очень в продаже, Стрит Файтер 4 уже бог знает какое переиздание. Вот Зельда и Кид Икарус, это да (лишь бы завезли).    И последний критерий-цена. Я подумал, вроде многовато как-то 12,500, но потом я вспомнил, что новая ПСП должна по прикидкам стоить в 2 раза дороже (офф цена 3DS-250$, NGP-уже сейчас предполагаемо 500$). А поскольку за графикой гоняться я решил лишь на стационарках, то выбор пал на 3DS.   Ни капли не жалею, глаза не болят, хотя многие этого страшатся. Но все-таки есть минус, небольшая популярность приставки(но это только в России, хм), из-за этого половина этих самых интересных фич пропадает.",5,positive
205,2050101,318,656,2010-11-05,Доволен телефоном. Покупал год назад и всё работает идеально. Вообще телефон кул!!!,4,positive
406,4061001,617,2217,2016-09-05,"Запах пластика присутствует поначалу, чайник надо сразу почистить с содой или с лимонкой. Не считая этого, модель хорошая. Кипятит довольно быстро. Внешний вид очень оригинальный - тут и супер-наглядный индикатор уровня воды на пол-чайника, и стильная подсветка.",4,positive
401,4010301,309,3145,2011-03-16,"Отличный духовой шкаф, мы очень довольны выбором!!! У этой модели Gorenje много функций, хотя половиной мы ни разу и не пользовались) Утапливаемые переключатели удобны в использовании, проще мыть панель. Не пачкается, не остается никаких отпечатков на черном фоне. А еще мне очень нравятся телескопические направляющие, оценила новинку)) Берите не пожалеете!!!",5,positive
406,4060501,879,2562,2010-04-14,"Супруг подарил мне на день рождения эту чудесную соковыжималку!!! Это просто супер!! Я очень довольна и не сколько не жалею, что муж сделал такой выбор!! Ничего не брызгает, сок без всяких кожурок и косточек!! чистый и прозрачный!!! Единственное, приходится долго мыть сетку, через которую проходит сок!!! Но думаю, что я научусь и буду делать это намного быстрее!!!!!  Покупайте и не пожалеете!!!!!!",5,positive
203,2030201,534,1565,2010-02-03,"Купил несколько дней назад, полет отличный, ни каких проблем не возникло. Александру (Йошкар-Ола), хочу сказать, что в этом ноутбуке две видеокарты, одна работает при включенном сетевом питании(4330) и при работе от батареи (3200) и не выносите мозг продавцам М-видео (сами сначала разберитесь), кстати, с этим же связано агрессивное переключение режимов работы, на самом деле очень удобная и продуманная функция. Жесткий диск здесь 7200 об/м, наверное, поэтому Руслану показалось, что шумит, хотя у меня ни каких проблем нет с этим. Не понятно, зачем нужно ставить XP, если здесь стоит ""семерка"" премиум, которая вполне быстро работает. По поводу маркости, вот хоть убей не могу найти на нем ни одного отпечатка, поэтому считаю, модель хорошо подходит для использования в дороге. Отличная емкость аккумулятора для такого размера в режиме онлайн ТВ 3,5 часа, это с включенным Wi-Fi, а просто кино 4,5 часа, режим чтения около 7 часов. Отличный дисплей, хотя углы обзора не самые большие, но посмотреть вдвоем втроем получится. Клавиатура очень приятная на ощупь, размер клавиш большой. Из недостатков батарея в своем гнезде сидит не очень плотно (зазор около 1мм) и двигается при изменении положения ноутбука. Хотя сам корпус, очень жесткий и отлично собран.",5,positive
203,2030301,692,263,2010-06-18,"Комп отличный. Василий, и каких же он игр не тянет?",5,positive
107,1070908,13,2151,2010-05-11,Плюс:читает все видеоформаты прямо с внешнего жесткого диска(даже mkv !!!),5,positive
205,2050101,93,767,2010-02-07,"Замечательный коммуникатор,недорогой, а wi-fi и не нужен, при помощи bluetooth на компьютере и ActiveSync(он бесплатный на сайте майкрософт). На белом варианте меньше остаются отпечатки пальцев.",5,positive
