item_category,item_id,brand,user_id,date,comment,rating,tonality,translated_comment
406,4060501,879,1446,2013-01-14,"Пользуюсь два года. Соковыжималка нормальная. Как то пропало питание (тумблер не реагировал на нажатия), повёз в ремонт и при проверке она заработала. После этого прошёл год. Работает без нареканий. Вот такие чудеса!",4,positive,"I&#39;ve been using it for two years. The juicer is normal. Once the power went out (the switch didn&#39;t respond to pressing), I took it to be repaired and when I checked it, it started working. A year has passed since then. It works without any complaints. Such miracles!"
412,4120201,798,2947,2010-02-08,"Неумение обращаться с изделием не делает изделие плохим. Наверняка девушка в первый раз в жизни заправляла горизонтальный челнок. там есть небольшая хитрость, показанная наглядно в видеоролике на прилагаемом CD. Больше года использую такую ""в хвост и гриву"", профессионально - не нарадуюсь.",5,positive,"Inability to handle the product does not make the product bad. Surely the girl was threading a horizontal shuttle for the first time in her life. There is a small trick, clearly shown in the video on the attached CD. I have been using this one &quot;to the fullest&quot; for over a year, professionally - I am delighted."
304,3040104,1,1662,2010-08-16,Когда данный товар появится в наличий магазинов нашего города?,5,positive,When will this product be available in stores in our city?
413,4130901,66,2006,2016-06-09,"Я был вообще готов купить новую бритву, но воворемя узнал что можно купить просто сетку со сменным блоком, и вся проблема. В моем случае сетка и режущий блок представляют собой единую систему и не меняются по отдельности, поэтому в наборе они тоже идут вместе. Подходит для бритв Браун 7-ой серии.",5,positive,"I was ready to buy a new razor, but I found out in time that you can just buy a grid with a replaceable block, and that&#39;s the whole problem. In my case, the grid and the cutting block are a single system and are not changed separately, so they also come together in the set. Suitable for Braun razors of the 7th series."
411,4110102,48,2217,2013-12-02,"Отличный пылесос, очень мощный, после одной уборки контейнер был полный, как будто и не пылесосили никогда. Чаша очень просто очищается, недорог  в эксплуатации, один раз в год нужно поменять фильтр, который стоит 400 руб. Берите, не пожалеете",5,positive,"Excellent vacuum cleaner, very powerful, after one cleaning the container was full, as if it had never been vacuumed. The bowl is very easy to clean, inexpensive to operate, once a year you need to change the filter, which costs 400 rubles. Buy it, you will not regret it"
203,2030201,93,767,2010-06-28,"Купил это ноутбук 3 недели назад.Выбор делал из моделей АSUS,Аcеr,HP.Мне ноут был нужен для работы и чтобы фильмы посмотреть.В целом покупкой доволен.Есть все что нужно камера,блютус,факс.Оператива новейшая DDRЗ, 3 гига,довольно шустрая,Процессор мощный.Порадовало наличие 4 портов USB.Также есть гнездо HDMI. Отвод тепла сзади ноута,что тоже хорошо.Большой плюс-тишина работы бука.Минусы: небольшой винчестер(250 гб) ,буквы на клаве одного цвета.Но это все мелочи.Так что ноутбук отличный.Всем советую,берите не пожалеете. Соотношение цена качество-самое то.Брал за 24 тыс.",4,positive,"I bought this laptop 3 weeks ago. I chose from models ASUS, Acer, HP. I needed the laptop for work and to watch movies. Overall, I&#39;m happy with the purchase. It has everything you need: camera, Bluetooth, fax. The latest DDR3 RAM, 3 gigs, pretty fast, the processor is powerful. I was pleased with the presence of 4 USB ports. There is also an HDMI jack. Heat dissipation at the back of the laptop, which is also good. A big plus is the quiet operation of the laptop. Cons: small hard drive (250 GB), the letters on the keyboard are the same color. But these are all trifles. So the laptop is excellent. I advise everyone, take it, you will not regret it. The price-quality ratio is just right. I bought it for 24 thousand."
405,4050205,980,2481,2013-10-02,"Уже года три пашет, так что вещь хорошая!!",5,positive,"It&#39;s been working for three years already, so it&#39;s a good thing!!"
510,5100102,710,1656,2010-04-24,"Кажется что сушка - это вещь на которой можно и нужно сэкономить, ну что в ней может быть особенного??Но посмотрите на эту, в ней сразу несколько существенных отличий от всех более дешевых аналогов.Во-первых, на ногах она ""стоит ровно"", они не перекрещиваются.Во-вторых, имеет пластиковые защитные части и ножки имеют ступор в сторону раскладывания.В-третьих, в ножки вмонтированы колесики, и даже если на сушке до 20 кг белья ее можно легко переместить в помещении.В-четвертых, она оснащена замечательными отстегивающимися ""ушами"",которые можно  приспособить к батарее,если нужна интенсивная сушка или количество белья невелико.И, в-последних, клип, на который она закрывается, предотвращая разваливание во время хранения.Это просто мечта!!!",5,positive,"It seems that a dryer is something you can and should save on, well, what could be special about it? But look at this one, it has several significant differences from all cheaper analogues. Firstly, it &quot;stands straight&quot; on its legs, they do not cross. Secondly, it has plastic protective parts and the legs have a stop in the direction of unfolding. Thirdly, wheels are built into the legs, and even if it dries up to 20 kg of laundry, it can be easily moved around the room. Fourthly, it is equipped with wonderful detachable &quot;ears&quot; that can be adapted to the battery if intensive drying is needed or the amount of laundry is small. And, finally, a clip on which it closes, preventing it from falling apart during storage. It&#39;s just a dream!!!"
515,5150101,11,690,2013-07-24,"Наушники просто великолепные! Качество звука - отличнейшее. Басы Otto Dix чувствовались великолепно! Но все же погибли, не прожив и трех месяцев. Сначала отломалось само ушко. Клеили - держалось. Потом переломилась стыковка (где два кабеля в один переходят), а затем уже и само основание. И, как все говорят, сами ушки разбалтываются, почти не держатся. Но наушники были просто отменные! Ни одни из своих я так не любила.",4,positive,"The headphones are simply magnificent! The sound quality is excellent. The Otto Dix bass was felt magnificently! But they died, not having lived even three months. First, the ear itself broke off. We glued it - it held. Then the joint (where two cables turn into one) broke, and then the base itself. And, as everyone says, the ears themselves are loose, they almost do not hold. But the headphones were simply excellent! I have never loved any of mine so much."
303,3030501,1542,1414,2010-06-26,"вообще игра для тех, кто любит побродить.поискать.подумать.да сюжет нелинейный, в чем вся прелесть игры.завораживающий геймплей.игра классная, всем советую.купил соньку из-за нее и еще пару игр.нисколько не жалею потраченных денег))))))))))",5,positive,"in general, the game is for those who like to wander. search. think. yes, the plot is non-linear, which is the whole charm of the game. fascinating gameplay. the game is cool, I recommend it to everyone. I bought a sony because of it and a couple of other games. I do not regret the money spent at all))))))))))"
405,4050303,81,2680,2016-01-16,"У нас такая система установлена в офисе, помещение около 35 квадратов, рабочие места определены перегородками, т.е. все 11 человек дышат одним воздухом. Летом, конечно, мрак, в офисе душно, жарко, центральная вентиляция не справляется со своей задачей и при работе гудит жутко. Установки этого кондиционера оказалось достаточно, чтобы забыть о духоте и не мучиться от жары. Работает тихо. Я прихожу на работу первая и его включение моя ответственность. Минут 15 требуется, чтобы охладить все помещение, холодный воздух развеивает равномерно, направление дува установлено над уровнем стоящего человека, поэтому никто из сотрудников не жалуется на прямое его проветривание. На корпусе есть цветной дисплей, на котором отражаются установки. Данный кондиционер можно использовать для обогрева даже при небольшом минусе, по паспорту до -5. Если покупать домой, то думаю что его одного хватит на всю двухкомнатную квартиру.",5,positive,"We have such a system installed in the office, the room is about 35 square meters, the workplaces are defined by partitions, i.e. all 11 people breathe the same air. In the summer, of course, it is dark, the office is stuffy, hot, the central ventilation does not cope with its task and hums terribly when working. The installation of this air conditioner was enough to forget about the stuffiness and not suffer from the heat. It works quietly. I come to work first and its activation is my responsibility. It takes about 15 minutes to cool the entire room, the cold air disperses evenly, the blowing direction is set above the level of a standing person, so none of the employees complain about direct ventilation. There is a color display on the body, which reflects the settings. This air conditioner can be used for heating even at a slight minus, according to the passport up to -5. If you buy it for home, I think that one of it will be enough for the entire two-room apartment."
515,5150101,1453,2052,2009-08-26,"Отличнейшие наушники за такие деньги. Хорошо шумоизолируют,надежные и звук ровный, очень доволен покупкой. Пользуюсь более 7 месяцев.",5,positive,"Excellent headphones for the money. They isolate noise well, are reliable and the sound is even, I am very happy with the purchase. I have been using them for more than 7 months."
411,4110104,13,878,2011-01-27,"Маленький и удобный пылесос.После покупки лучше сразу купить комплект бумажных одноразовых мешков.Шумноват,но соседи не жалуются).  Из минусов: когда засасывает металлические предметы,то наэлектризовывается весь.Иногда бьет статическим током.  В целом,очень хороший аппарат.",5,positive,"A small and convenient vacuum cleaner. After purchasing it, it is better to immediately buy a set of paper disposable bags. It is noisy, but the neighbors do not complain). Of the minuses: when it sucks in metal objects, it becomes electrified all over. Sometimes it shocks with static electricity. In general, a very good device."
411,4110103,1050,2217,2017-07-14,"Очень легко моется , нет лишних деталей",4,positive,"Very easy to clean, no unnecessary parts"
203,2030301,93,656,2009-10-02,"комп пуляет, просто самолет, даже не смотря на висту 32, долго сомневался из-за размеров, очень тихий, я доволен как слон, диагноз: брать!",5,positive,"the computer shoots, just a plane, even despite Vista 32, I doubted for a long time because of the size, very quiet, I&#39;m happy as an elephant, diagnosis: buy it!"
412,4120201,882,257,2013-11-18,"к сожалению присутствие лампочки мало обрадовало, стоит очень высоко и не выполняет своего прямого назначения, освещает свои внутренности ,быстро греется и очень воняет пластмассой",4,positive,"Unfortunately, the presence of a light bulb was of little use, it stands very high and does not fulfill its intended purpose, it illuminates its insides, heats up quickly and smells very much of plastic"
408,4080301,863,794,2010-02-27,"плита компактная, удобная, один большой минус на верхней панели через 6 месяцев потрескалась эмаль, обратилась в ремонт, плиту заменили без проблем, что приятно, но и на новой плите опять трещины по эмали сильные пошли.",4,positive,"the stove is compact, convenient, one big minus on the top panel after 6 months the enamel cracked, I went to repair, the stove was replaced without any problems, which is nice, but even on the new stove there are strong cracks in the enamel again."
406,4060801,86,2923,2017-01-22,Хорошее качество ,5,positive,Good quality 
406,4060201,879,1225,2015-12-25,"Взбивает все очень хорошо и не важно что вы в него бросите. Моя семья любит когда нет нифилей(маленьких кусочков), на пятой скорости делает пюре, но приходиться включать пару раз по две минуты. Работал на протяжении года в плотном режиме для семьи из 4 человек. потом начал протекать нож. Считаю что за такие деньги год работы это мало.",4,positive,"It whips everything very well and it doesn&#39;t matter what you throw in it. My family likes it when there are no nifles (small pieces), at the fifth speed it makes puree, but you have to turn it on a couple of times for two minutes. It worked for a year in a tight mode for a family of 4. Then the knife started leaking. I think that for that kind of money a year of work is not enough."
411,4110102,48,2947,2010-11-12,"Пылесос отличный. Мощный-это раз. Не по-детски тянет. Самые мелкие предметы и пыль, снимает, не оставляя следа. даже жидкость насухо! Качественная сборка, и никаких нареканий к качеству - это два. И третье - это конечно чистый воздух. Действительно очень чистый. Особенно, если использовать угольный фильтр.",5,positive,"The vacuum cleaner is excellent. Powerful - that&#39;s one. Pulls like a child. The smallest objects and dust, removes, leaving no trace. Even liquid dry! High-quality assembly, and no complaints about the quality - that&#39;s two. And third - of course, it&#39;s clean air. Really very clean. Especially if you use a carbon filter."
406,4061001,11,682,2016-07-10,"Отличный чайник. Кипятит быстро, не сильно шумный, если со временем зашумел - нужно очистить от накипи и снова все в порядке. А про тех, у кого лопается стекло на крышке, скажу, что не нужно было наливать и кипятиь воду выше максимальной отметки 1,7 литра!!! Чайнику 4 года, всегда наливаем воду чуть меньше максимальной отметки и все в порядке, стекло крепкое , специально постучал сегодня по нему пальцем - как новое. Вообщем рекомендую!",5,positive,"Excellent kettle. Boils quickly, not very noisy, if it starts to make noise over time - you need to clean it from scale and everything is fine again. And for those whose glass on the lid breaks, I will say that you should not pour and boil water above the maximum mark of 1.7 liters!!! The kettle is 4 years old, we always pour water slightly less than the maximum mark and everything is fine, the glass is strong, I specially tapped it with my finger today - like new. In general, I recommend it!"
405,4050101,829,1262,2016-04-18,"пользовалась 2 лета,пока очень довольна.",5,positive,I&#39;ve been using it for 2 summers and I&#39;m very happy with it so far.
405,4050303,81,1538,2013-06-12,"Покупали год назад, прошлое лето отработал хорошо, без каких- либо сбоев. В это лето тоже включаем, все нормально перезимовал хорошо. Большое значение имеет качественная установка самого кондиционера, (квалифицированными специалистами) на этом не стоит экономить. И тогда у любого кондиционера будет полет нормальный. Берите с запасом по квадратуре комнаты. Мы такой взяли на комнату в 16 кв.м. + совмещенная кухня 6 кв. м.",5,positive,"We bought it a year ago, last summer it worked well, without any failures. We are also turning it on this summer, everything is fine, it survived the winter well. High-quality installation of the air conditioner itself is of great importance (by qualified specialists), you should not save on this. And then any air conditioner will fly normally. Take it with a reserve according to the square footage of the room. We took one for a room of 16 sq. m. + combined kitchen 6 sq. m."
413,4130201,759,1538,2016-03-04,"Долго думала, какой набор выбрать. Остановилась на этом в виду сочетания цена-функциональность. Все насадки - нужные. Особенно нравится конусная, сферическая. Профессиональны пользуется сферической в салонах. Странно, что не во всех наборах она присутствует. Здесь есть. Порадовало, что есть пилочки, ими легко придавать форму ногтю, потом дорабатываю пилкой. Конечно, нужно уметь пользоваться, чтоб набор оказался полезным. Я делала в салоне аппаратный маникюр - поэтому было представление, каким образом пользоваться насадками. Маникюр получился как в салоне, кутикула растет медленнее, чем при обрезном маникюре. Особенно порадовала цена. Сейчас в магазине он не очень дорогой",5,positive,"I thought for a long time about which set to choose. I settled on this one because of the price-functionality combination. All the attachments are necessary. I especially like the conical and spherical ones. Professionals use the spherical ones in salons. It&#39;s strange that not all sets have them. This one does. I was pleased that there are files, they are easy to shape the nail, then I finish it with a file. Of course, you need to know how to use it for the set to be useful. I did a hardware manicure in a salon - so I had an idea of how to use the attachments. The manicure turned out like in a salon, the cuticle grows slower than with a trimmed manicure. I was especially pleased with the price. Now in the store it is not very expensive"
107,1070902,10,153,2011-01-22,"телевизор хороший, но вот такая проблема. что с флешки что с карты музыка с фотками воспроизводится а видео нет. пишет что ""нет файлов для воспроизведения"" я и форматировал всё, и видео кодировал ничего не помогает",4,positive,"the TV is good, but here&#39;s the problem. both from the flash drive and from the card, music and photos are played, but not video. it says &quot;no files to play&quot; I formatted everything, and encoded the video, nothing helps"
205,2050201,13,1538,2010-12-20,"Я купила телефон неделю назад. Впринцепе мне все нравится,но есть одно ""но"", редко, но бывает, когда разблокируешь его и нажимаешь на меню, экран становится красным, и меню так и не появляется...",5,positive,"I bought the phone a week ago. In principle I like everything, but there is one &quot;but&quot;, rarely, but it happens, when you unlock it and press the menu, the screen turns red, and the menu never appears..."
505,5050101,1031,763,2017-07-15,Удобная вещица))),4,positive,A handy little thing)))
411,4110104,81,1952,2011-02-24,"Пользуюсь вторую неделю, выбирала между циклонным пылесосом и пылесосом с пылесборником,в итоге остановилась на этой модели и не ошиблась. Очень тихий, легкий пылесос. Убирать им одно удовольствие. Мощность тоже на высоте, удобно регулируется ручка, ну и конечно же длинный шнур.",5,positive,"I have been using it for the second week, I was choosing between a cyclone vacuum cleaner and a vacuum cleaner with a dust collector, and I finally settled on this model and was not mistaken. It is a very quiet, lightweight vacuum cleaner. It is a pleasure to clean with it. The power is also at its best, the handle is conveniently adjustable, and of course the cord is long."
203,2030201,995,2051,2010-04-06,общее мнение таково Ноутбук Packard Bell DT85-CT-015RU про-во КНР все это знают когда покупали а сравнения с Acer-ом не много не каректная у меня был7520 грелся жуть карта8600 в конце концов видюха сгорела.а по клавеатуре поделюсь своим опытом A4TechX7G100 решает все боталии.Но минусы все перечисленные я потверждаю плюс заглючилHDD WD я от него этого не ожидал.видно сказывается КНР фактор.в общем покупка себя оправдывает так как кроме китая ничего не найти даже в америке.УДАЧНЫХ ПОКУПОК,5,positive,"the general opinion is that the Packard Bell DT85-CT-015RU notebook is made in China, everyone knows this when they bought it, and the comparison with Acer is not quite correct, I had a 7520, it heated up terribly, the 8600 card, in the end the video card burned out. and as for the keyboard, I will share my experience, the A4TechX7G100 solves all the problems. But I confirm all the disadvantages listed, plus the WD HDD glitched, I did not expect this from it. it is obvious that the China factor is having an effect. in general, the purchase justifies itself, since you can’t find anything except China even in America. GOOD SHOPPING"
413,4130301,63,1869,2011-03-25,"Подарила мужу на день рождение машинку для стрижки волос. У нас она уже 6 месяцев, нареканий нет.   Только положительные эмоции! Стригу самой маленькой насадкой 3 мм: просто супер, волосы не дергает, убирает волосы с первого раза и не оставляет бороздок. Вибрация в пределах нормы, удобна в руке. Мыть ее не нужно, смазывать тоже, лишь чистить щеточкой и продувать от мелких волосков. Очень удобна и проста в применении. Муж доволен и я рада.   Пару раз стригла свекра-очень понравилось.Теперь собираемся ему на юбилей такую же подарить.",5,positive,"I gave my husband a hair clipper for his birthday. We have had it for 6 months now, no complaints. Only positive emotions! I cut with the smallest 3 mm attachment: it is just super, it does not pull hair, removes hair the first time and does not leave grooves. The vibration is within normal limits, it is comfortable in the hand. You do not need to wash it, lubricate it either, just clean it with a brush and blow it off small hairs. It is very convenient and easy to use. My husband is happy and I am glad. I cut my father-in-law&#39;s hair a couple of times - he really liked it. Now we are going to give him the same one for his anniversary."
203,2030201,995,1225,2010-04-30,"Бук самый лучший во всем: качество, дизайн, мощь, обьем, все что нужно  перед покупкой этого бука долго и придирчиво выбирал ноут, облазил весь инет, смотрел, читал.   читал примерно месяц, может больше, потом ходил по магазинам смотрел щупал ноутбуки разных производителей и более дорогих, так как бюджет был 50 т.р и вот как-то случайно я проходил мимо и встретил его - это было чудо, я его нашел.  Вот он красивый (особенно клавиатура и сенсорная панель)и еше круче тачпад. Качественный и крепкий пластик как в дорогой иномарке (у некоторых ноутбуков клавиатура прогибается особенно ASUS аналогичный,и некоторые HP, а я на них смотрел с высока).  потом он очень удобен и легок. греется тока в играх, нормально, так и должно быть, главное, что температуру держит, хоть весь день играй. тест проводил лично при специальной программе, экран по качеству неплохой от других производителей ничем не отличается вот тока продавцы sony меня убеждали, что их матрица самая яркая и в ней типа не видно пикселов, ну это все уловки продавцов.   минус тока один - когда брал я не проверил DVD/RW, вот привез я его домой вставил диск dr.weba и он начал крутить и шуметь, но я на это не обратил внимания. теперь иногда вставляешь диск, а и он начинает как истребитель на взлетной полосе, проблема в том, что он как-то неплотно подходит, люфт так сказать небольшой, поэтому шумит, если пальцем его прижать, то все ОК'.   советую, когда будете брать, то проверяйте на месте абсолютно все звук порты, вставьте диск, послушайте, потрогайте.   И еще на картинке он не очень, вот когда его в живую увидишь, да на фоне других - это просто красавец, эта модель ESYnote так и разрабатывалась для развлечений, то есть красивый, удобный, мощный. Ноут 5 балов, было бы 6 - поставил бы и б.   ах да забыл ноутбуком пользуюсь 1 месяц купил за 29900+гарантию на 2 года 2000 и мне дали карту в м.Видео через 21 день на ней будет 2000р, вот так что это вдвойне крутой ноутбук .СУДИТЕ САМИ, это было лично моё мнение.",5,positive,"The best laptop in everything: quality, design, power, volume, everything you need before buying this laptop for a long time and meticulously chose a laptop, climbed the entire Internet, looked, read. I read for about a month, maybe more, then went to stores looked at and touched laptops from different manufacturers and more expensive ones, since the budget was 50 thousand rubles and somehow I accidentally walked past and came across it - it was a miracle, I found it. Here it is beautiful (especially the keyboard and touch panel) and even cooler touchpad. High-quality and durable plastic like in an expensive foreign car (some laptops have a bending keyboard, especially ASUS similar, and some HP, and I looked at them from above). Then it is very convenient and light. It heats up only in games, normal, so it should be, the main thing is that it maintains the temperature, even if you play all day. I tested it myself using a special program, the screen is not bad in quality from other manufacturers, it’s just that Sony sellers tried to convince me that their matrix is the brightest and that you can’t see any pixels in it, well, it’s all sellers’ tricks. There’s only one minus - when I bought it, I didn’t check the DVD/RW, so when I brought it home, I inserted a Dr.Weba disk and it started spinning and making noise, but I didn’t pay attention to it. Now sometimes you insert a disk and it starts like a fighter jet on the runway, the problem is that it doesn’t fit tightly, there’s a little play, so to speak, that’s why it makes noise, if you press it with your finger, then everything’s OK. I advise you to check absolutely all sound ports in place when you buy it, insert a disk, listen, touch it. And it doesn’t look very good in the picture, but when you see it in real life, and against the background of others, it’s just a beauty, this ESYnote model was developed for entertainment, that is, beautiful, convenient, powerful. The laptop is 5 points, if it was 6, I would have given it a used one. Oh yeah, I forgot, I&#39;ve been using the laptop for 1 month, I bought it for 29,900 + a 2-year warranty for 2,000 and they gave me a card at m.Video, in 21 days there will be 2,000 rubles on it, so this is a doubly cool laptop. JUDGE FOR YOURSELF, this was my personal opinion."
205,2050101,318,1225,2009-10-09,Давно ждал!!! Купил неделю назад!!! Телефон просто супер!!! Нереальный функционал за вполне реальные деньги. Отсутствуют почти все ненужности))). Всем рекомендую!!!,5,positive,I&#39;ve been waiting for a long time!!! I bought it a week ago!!! The phone is just super!!! Unreal functionality for quite real money. Almost all unnecessary things are missing))). I recommend it to everyone!!!
515,5150101,11,2937,2009-10-30,"Хороший звук, удобное крепление, вот только габариты несколько показались неудобными (уши торчат) и при ветре на малой громкости ничего не слышно...",4,positive,"Good sound, convenient mount, but the dimensions seemed a bit inconvenient (ears stick out) and in the wind at low volume you can&#39;t hear anything..."
203,2030201,93,767,2010-06-25,А подсскажите пожалуйста какая видиокарта лучше GeForce G240M или Radeon HD 5650????заранее спасибО!))),5,positive,"Can you please tell me which video card is better, GeForce G240M or Radeon HD 5650????Thanks in advance!)))"
304,3040105,1,2923,2010-11-01,"приобрел сегодня, версия официальной прошивки 6.2",5,positive,"bought today, official firmware version 6.2"
107,1070903,13,2963,2009-12-17,"Прикольный девайс, мне понравился.  Настроек куча, картинка хорошая, жаль только видео с USB не тянет.    с кинотеатром однофирменным через HDMI отлично снюхивается - при загрузке диска телек сам включается/переключается    ИМХО Оптимальное соотношение цена/качество/бренд    рекомендую",5,positive,"Cool device, I liked it. Lots of settings, good picture, it&#39;s just a pity it doesn&#39;t handle video from USB. It works great with a movie theater of the same brand via HDMI - when loading a disc, the TV turns on/switches itself IMHO Optimal price/quality/brand ratio, I recommend"
413,4130501,1920,690,2015-05-06,"Достоинства: Достаточно точное и быстрое измерение температуры,  Не тонет,  Мягкая оболочка (резина или каучук),  Ничего острого нет.  Недостатки: Плавал бы он всегда датчиком ко дну.  Комментарий: Пупсик первым делом охотится и набрасывается на этот термометр :)  Сам термометр после погружения медленно всплывает.  Развивается моторика и терпение: поначалу ему было сложно схватить (он «скрипел» от злости) вращающийся на поверхности воды термометр, потом научился :) Наблюдать за этим интересно",4,positive,"Pros: Quite accurate and fast temperature measurement, Does not sink, Soft shell (rubber or caoutchouc), Nothing sharp. Cons: It would always float with the sensor to the bottom. Comment: The first thing the baby hunts and pounces on is this thermometer :) The thermometer itself slowly floats up after being immersed. Motor skills and patience are developed: at first it was difficult for him to grab (he &quot;creaked&quot; with anger) the thermometer rotating on the surface of the water, then he learned :) It is interesting to watch"
